2025-04-03 14:17:11,082 - INFO - System Monitor: Starting system monitoring...
2025-04-03 14:17:11,087 - INFO - CPU: Usage: 37.5%
2025-04-03 14:17:11,087 - INFO - Memory: Usage: 84.3%
2025-04-03 14:17:11,728 - INFO - Software: PID: 3432, Name: Code.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,728 - INFO - Software: PID: 3488, Name: ZaloCall.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,728 - INFO - Software: PID: 3508, Name: SearchApp.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,728 - INFO - Software: PID: 3592, Name: svchost.exe, Username: None
2025-04-03 14:17:11,728 - INFO - Software: PID: 3664, Name: Zalo.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,729 - INFO - Software: PID: 3736, Name: svchost.exe, Username: None
2025-04-03 14:17:11,729 - INFO - Software: PID: 3816, Name: spoolsv.exe, Username: None
2025-04-03 14:17:11,729 - INFO - Software: PID: 3824, Name: svchost.exe, Username: None
2025-04-03 14:17:11,729 - INFO - Software: PID: 3884, Name: RtkNGUI64.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,730 - INFO - Software: PID: 3940, Name: svchost.exe, Username: None
2025-04-03 14:17:11,730 - INFO - Software: PID: 3996, Name: svchost.exe, Username: None
2025-04-03 14:17:11,730 - INFO - Software: PID: 4072, Name: svchost.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,730 - INFO - Software: PID: 4184, Name: RuntimeBroker.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,731 - INFO - Software: PID: 4196, Name: svchost.exe, Username: None
2025-04-03 14:17:11,731 - INFO - Software: PID: 4208, Name: svchost.exe, Username: None
2025-04-03 14:17:11,731 - INFO - Software: PID: 4220, Name: fpCSEvtSvc.exe, Username: None
2025-04-03 14:17:11,732 - INFO - Software: PID: 4228, Name: svchost.exe, Username: None
2025-04-03 14:17:11,732 - INFO - Software: PID: 4236, Name: svchost.exe, Username: None
2025-04-03 14:17:11,732 - INFO - Software: PID: 4244, Name: svchost.exe, Username: None
